image_url,tweet_url,retweet_count,user_id_str,location,lang,id_str,conversation_id_str,full_text,quote_count,username,reply_count,in_reply_to_screen_name,created_at,favorite_count
,https://x.com/undefined/status/1608764220451213313,0,230609460,,in,1608764220451213313,1608764220451213313,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan Sompo Insurance Indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @KAI121 ?,0,,2,,Fri Dec 30 09:57:34 +0000 2022,0
,https://x.com/undefined/status/1608631716184489986,0,1158718283870138368,,in,1608631716184489986,1608631716184489986,@KAI121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,0,,0,KAI121,Fri Dec 30 01:11:02 +0000 2022,0
,https://x.com/undefined/status/1608263340564058116,0,1250731212471074816,,in,1608263340564058116,1608263340564058116,@KAI121 min saya mau ubah no. Hp yang ada di kaiaccess. Mohon bantuannya min,0,,2,KAI121,Thu Dec 29 00:47:15 +0000 2022,0
https://pbs.twimg.com/media/FlGZa6HaAAEdOmM.jpg,https://x.com/undefined/status/1608235238366535680,0,120352418,,in,1608235238366535680,1608227080503955458,Waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. Pesannya tadi lewat #KAIAccess dan bayarnya pakai gopay. Mudah dan praktis. @KAI121 https://t.co/aJlrNQTLUE,0,,1,gathandoyo,Wed Dec 28 22:55:35 +0000 2022,1
,https://x.com/undefined/status/1608049638111850496,0,967360502652223489,,in,1608049638111850496,1608049638111850496,@KAI121 kenapa KAIAccess dari kemaren susah di acces loading terus,0,,0,KAI121,Wed Dec 28 10:38:04 +0000 2022,0
,https://x.com/undefined/status/1607954768332492802,0,1010877687932440577,,in,1607954768332492802,1607954768332492802,@KAI121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,0,,1,KAI121,Wed Dec 28 04:21:05 +0000 2022,0
,https://x.com/undefined/status/1607943108934914049,0,71733078,,in,1607943108934914049,1607943108934914049,@KAI121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. Kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,0,,1,KAI121,Wed Dec 28 03:34:45 +0000 2022,0
,https://x.com/undefined/status/1607879185586061312,0,438072886,,in,1607879185586061312,1607879185586061312,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( Sdf!,0,,3,,Tue Dec 27 23:20:45 +0000 2022,3
https://pbs.twimg.com/ext_tw_video_thumb/1607755416481730566/pu/img/US08gYz5-3JV9uh7.jpg,https://x.com/undefined/status/1607755461062950912,0,414602951,,in,1607755461062950912,1607755461062950912,Halo @KAI121 apps nya lagi under constructions apa jaringan sinyal @myXLCare yg kurang baik di Cilacap? Bolak-balik-bolak matiin mode pesawat masuk App #KaiAccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3ZOOaCv,0,,2,,Tue Dec 27 15:09:07 +0000 2022,0
,https://x.com/undefined/status/1607603636284325890,0,359810843,,in,1607603636284325890,1607603636284325890,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,0,,0,KAI121,Tue Dec 27 05:05:49 +0000 2022,0
